YEAR,MO,DY,T2M_MAX,WS10M,WS50M
2003,4,19,20.91,4.45,6.13
2003,4,20,19.81,4.82,6.65
2003,4,21,24.04,5.23,7.67
2003,4,22,17.62,5.4,6.96
2003,4,23,18.01,6.1,7.91
2003,4,24,24.0,4.25,6.38
2003,4,25,24.76,5.76,8.64
2003,4,26,28.77,4.9,6.98
2003,4,27,28.98,4.55,6.94
2003,4,28,30.71,6.27,9.68
2003,4,29,31.21,6.74,10.02
2003,4,30,21.59,5.08,6.32
2003,5,1,28.87,3.43,4.86
2003,5,2,28.52,4.62,5.8
2003,5,3,28.47,3.86,5.28
2003,5,4,30.76,2.56,3.76
2003,5,5,30.11,6.04,7.07
2003,5,6,14.73,8.51,10.24
2003,5,7,20.58,3.28,4.73
2003,5,8,23.05,5.34,6.33
2003,5,9,21.08,5.83,7.41
2003,5,10,25.69,2.02,3.1
2003,5,11,25.16,3.08,4.26
2003,5,12,22.3,2.23,3.6
2003,5,13,27.71,2.26,3.23
2003,5,14,28.5,1.69,2.04
2003,5,15,28.76,3.73,5.11
2003,5,16,27.51,4.87,6.07
2003,5,17,25.0,5.42,7.05
2003,5,18,29.23,2.95,4.3
2003,5,19,30.48,4.27,6.12
2003,5,20,29.76,4.29,6.41
2003,5,21,31.42,3.81,6.02
2003,5,22,30.62,3.63,5.59
2003,5,23,31.29,4.62,6.34
2003,5,24,28.08,3.43,4.53
2003,5,25,23.94,6.1,7.54
2003,5,26,24.88,6.34,8.06
2003,5,27,28.76,4.05,5.94
2003,5,28,30.58,4.09,5.62
2003,5,29,31.78,5.66,8.12
2003,5,30,31.77,5.38,7.53
2003,5,31,32.08,3.62,4.58
2003,6,1,27.9,6.55,7.74
2003,6,2,27.4,4.38,5.92
2003,6,3,31.65,2.57,3.95
2003,6,4,32.37,4.98,6.73
2003,6,5,30.15,5.34,7.42
2003,6,6,32.64,4.86,7.16
2003,6,7,31.53,4.02,5.74
2003,6,8,31.91,2.83,4.09
2003,6,9,33.12,3.25,4.91
2003,6,10,33.54,3.27,4.59
2003,6,11,33.33,4.33,6.26
2003,6,12,31.74,5.88,8.27
2003,6,13,34.17,4.75,6.84
2003,6,14,34.13,4.91,6.41
2003,6,15,34.58,4.43,5.84
2003,6,16,32.18,5.12,6.09
2003,6,17,32.23,3.84,5.05
2003,6,18,36.48,5.54,7.55
